frame;id;AccelerationEgo;VelocityEgo;XPosition;YPosition;YawAngle
1420;0;-1.024391; 8.171680; -28.168173; -9.208509; -0.011215
1420;1; 3.549021; 19.186982; 74.399759; 1.832059; 3.141234
1430;0;2.552204; 8.161436; -28.086461; -9.209372; -0.011194
1430;1; -0.924421; 19.222470; 74.207890; 1.831738; 3.141160
1440;0;2.837597; 8.186958; -28.004851; -9.210228; -0.011168
1440;1; -1.506439; 19.213223; 74.015665; 1.831431; 3.141127
1450;0;-1.110867; 8.215335; -27.922986; -9.211084; -0.011136
1450;1; 3.551088; 19.198155; 73.823533; 1.831139; 3.141088
1460;0;-2.207879; 8.204227; -27.840837; -9.211938; -0.011098
1460;1; -1.053324; 19.233663; 73.631552; 1.830864; 3.141044
1470;0;3.151678; 8.182149; -27.758799; -9.212780; -0.011051
1470;1; -1.636281; 19.223127; 73.439216; 1.830602; 3.141039
1480;0;-0.823606; 8.213667; -27.676981; -9.213608; -0.010994
1480;1; -1.499774; 19.206761; 73.246984; 1.830355; 3.141027
1490;0;-2.036512; 8.205432; -27.594849; -9.214432; -0.010932
1490;1; 3.550901; 19.191761; 73.054917; 1.830125; 3.141007
1500;0;-1.796863; 8.185068; -27.512799; -9.215245; -0.010862
1500;1; -0.519233; 19.227268; 72.862999; 1.829911; 3.140982
1510;0;3.098962; 8.167101; -27.430952; -9.216042; -0.010781
1510;1; -1.513990; 19.222074; 72.670727; 1.829710; 3.140982
1520;0;-0.202475; 8.198092; -27.349285; -9.216824; -0.010690
1520;1; 3.553434; 19.206931; 72.478506; 1.829520; 3.140982
1530;0;-1.398096; 8.196068; -27.267307; -9.217602; -0.010595
1530;1; -1.125449; 19.242464; 72.286437; 1.829346; 3.140974
1540;0;-1.384374; 8.182089; -27.185350; -9.218371; -0.010493
1540;1; -1.708856; 19.231207; 72.094012; 1.829183; 3.140974
1550;0;3.046318; 8.168247; -27.103533; -9.219125; -0.010382
1550;1; -1.568406; 19.214117; 71.901700; 1.829034; 3.140974
1560;0;-0.168517; 8.198711; -27.021854; -9.219865; -0.010263
1560;1; 3.551949; 19.198430; 71.709559; 1.828901; 3.140966
